category,image,name,price
小八,image202.png,函館金屬掛飾-小八,58
小八,image203.png,壽司襟章-小八,28
小八,image204.png,海遊館娃-小八,138
小八,image205.png,2023兔年襟章-小八,70
小八,image206.png,山梨娃-小八,188
小八,image207.png,惡魔金屬襟章-小八,158
小八,image208.png,墮天使小八貼紙,48
小八,image209.png,天使貼紙-小八,48
小八,image210.png,惡魔貼紙-小八,48
小八,image211.png,天使金屬襟章-小八,158
小八,image212.png,"	天使娃(景品)-小八",168
小八,image213.png,全家限定貼紙-小八,30
小八,image214.png,全家限定襟章-小八,35
小八,image215.png,廣島限定-徽章-小八,108
小八,image216.png,討伐木牌掛飾-小八,60
小八,image217.png,討伐木牌掛飾-小八&usagi,50
小八,image218.png,壽司娃-小八,158
小八,image219.png,壽司娃-小八(師父),198
小八,image220.png,面包大頭娃-小八,138
小八,image221.png,小八室內拖鞋(22-24cm),218
小八,image222.png,冬季睡衣娃-小八,198
小八,image223.png,MLB娃usagi(普),178
小八,image224.png,MLB娃usagi(帽)(初販),178
小八,image225.png,魔法趴趴娃-小八,158
小八,image226.png,鯉魚娃-小八,138
小八,image227.png,奶油生日娃-小八,138
小八,image228.png,毛絨枕頭-小八,158
小八,image229.png,木質襟章-小八,78
小八,image230.png,小卡卡套(10張set)-小八,78
小八,image231.png,熱狗娃-小八,168
小八,image232.png,旅行牌-小八,118
小八,image233.png,流星娃-小八,168
小甲蟲,image234.png,魔法Q版襟章-小甲蟲,28
小甲蟲,image235.png,MLB襟章-小甲蟲,18
小甲蟲,image236.png,韓國24K金貼紙-小甲蟲,28
小甲蟲,image237.png,面包大頭娃-小甲蟲,158
日用品,image238.png,10cm玻璃杯(綠),100
日用品,image239.png,10cm玻璃杯-(藍),100
日用品,image240.png,11cm玻璃樽,100
日用品,image241.png,10cm玻璃杯-(橙),100
日用品,image242.png,面包店陶製杯墊(集合),80
日用品,image243.png,面包店陶製杯墊(吉伊),80
日用品,image244.png,面包店陶製杯墊(三小只),80
日用品,image245.png,藏壽司A4文件夾A,30
日用品,image246.png,藏壽司A4文件夾B,30
日用品,image247.png,藏壽司A4文件夾C,30
日用品,image248.png,藏壽司紙質貼紙A,15
日用品,image249.png,藏壽司紙質貼紙B,15
日用品,image250.png,藏壽司紙質貼紙C,15
日用品,image251.png,A4文件夾,18
日用品,image252.png,全家限定環保袋(綠) 約高40×闊30×寛20cm,138
日用品,image253.png,全家限定環保袋(黃) 約高40×闊30×寛20cm,138
日用品,image254.png,"保鮮袋(S,M size各5)",38
日用品,image255.png,膠盒兩種類,108
日用品,image256.png,拉麺大碟,138
日用品,image257.png,usagi拉面大碗,198
日用品,image258.png,usagi料理長開瓶蓋,188
日用品,image259.png,ちいかわラーメン豚 レンゲ,88
日用品,image260.png,吉伊小玻璃杯,118
日用品,image261.png,栗子酒杯,188
日用品,image262.png,OK繃 18張,35
日用品,image263.png,飛鼠中華冷面碟,218
日用品,image264.png,吉伊拉面小碗,168
日用品,image265.png,餐廳小八碟,188
日用品,image266.png,Chiikawa UNO,128
日用品,image267.png,冷感毛巾,100
日用品,image268.png,冷感枕頭套,168
日用品,image269.png,小八筆袋(蝴蝶結ver.),188
日用品,image270.png,小八遊樂場大帆布袋 約H400×W480×D150mm ,198
日用品,image271.png,巾袋-小八,118
古本,image272.png,魔法少女小手辦-古本,48
古本,image273.png,魔法少女襟章-古本(銀),18
古本,image274.png,魔法少女襟章-古本(白),18
古本,image275.png,魔法少女小立牌-古本,18
古本,image276.png,魔法少女襟章-古本(Q版),22
古本,image277.png,貼紙-古本(比YEAH),28
古本,image278.png,魔法少女貼紙-古本(Q版),35
古本,image279.png,魔法少女貼紙-古本,35
古本,image280.png,貼紙-古本(打掃),28
古本,image281.png,貼紙-飛鼠&古本,18
古本,image282.png,藏壽司小襟章-古本,10
古本,image283.png,魔法少女趴趴娃-古本,138
古本,image284.png,流星娃-古本,168
吉伊,image285.png,透明小掛飾-吉伊(餐廳),50
吉伊,image286.png,透明小掛飾-吉伊(藍),25
吉伊,image287.png,透明小掛飾-吉伊(HOT),35
吉伊,image288.png,透明小掛飾-吉伊(潤),30
吉伊,image289.png,透明小掛飾-吉伊(廚師帽),38
吉伊,image290.png,景品BIG蜜蜂娃-吉伊,98
吉伊,image291.png,景品造型馬克杯-吉伊(有瑕),100
吉伊,image292.png,景品造型馬克杯-吉伊,130
吉伊,image293.png,景品娃-吉伊(討厭),78
吉伊,image294.png,景品娃掛飾-吉伊(普入睡),90
吉伊,image295.png,景品娃掛飾-吉伊(笑入睡),90
吉伊,image296.png,景品娃掛飾-吉伊(跌落洞穴),68
吉伊,image297.png,景品手帶掛飾-吉伊,48
吉伊,image298.png,B賞大趴趴娃-吉伊,258
吉伊,image299.png,AnymyE賞細娃-吉伊(紅衫),188
吉伊,image300.png,AnymyD賞細娃-吉伊(冬季衫),138
吉伊,image301.png,可麗餅閃徽章-吉伊,110
吉伊,image302.png,京都徽章-吉伊#2,38
吉伊,image303.png,京都徽章-吉伊#1,38
吉伊,image304.png,水獺娃-吉伊,118
吉伊,image305.png,魔法少女小立牌-吉伊(黑),33
吉伊,image306.png,魔法少女小立牌-吉伊(普),28
吉伊,image307.png,魔法少女小立牌-吉伊(魔法棒),25
吉伊,image308.png,魔法少女小手辦-吉伊,78
吉伊,image309.png,拉麺貼紙,28
吉伊,image310.png,飯店閃貼紙-吉伊,38
吉伊,image311.png,韓國24K金貼紙-吉伊(笑),28
吉伊,image312.png,韓國24K金貼紙-吉伊(哭),18
吉伊,image313.png,韓國24K金貼紙-吉伊(hum),30
吉伊,image314.png,小貼紙-吉伊(狸貓),38
吉伊,image315.png,小貼紙-吉伊(密瓜),25
吉伊,image316.png,緣日貼紙-吉伊,70
吉伊,image317.png,拉麵貼紙-吉伊,40
吉伊,image318.png,餐廳貼紙-吉伊,30
吉伊,image319.png,扭蛋-吉伊#1,25
吉伊,image320.png,藏壽司掛飾-吉伊(第2彈),50
吉伊,image321.png,藏壽司掛飾-吉伊(第1彈),60
吉伊,image322.png,藏壽司小襟章-吉伊(第1彈),18
吉伊,image323.png,CC Lemon A4文件夾-吉伊,25
吉伊,image324.png,夏祭A4文件夾-吉伊,25
吉伊,image325.png,可樂A4文件夾-吉伊,35
吉伊,image326.png,全家A4文件夾-吉伊,35
吉伊,image327.png,緣日掛飾-吉伊,88
吉伊,image328.png,冒險王貼紙-吉伊(WANTED),50
吉伊,image329.png,冒險王掛飾-吉伊,65
吉伊,image330.png,遊樂場娃-吉伊,138
吉伊,image331.png,東京小立牌-吉伊,25
吉伊,image332.png,亞克力掛飾-吉伊,18
吉伊,image333.png,金屬掛飾-吉伊,28
吉伊,image334.png,Saniro小手辦-吉伊,60
吉伊,image335.png,刺繡襟章-吉伊(坐),28
吉伊,image336.png,韓國cafe襟章-吉伊,68
吉伊,image337.png,平行世界掛飾-吉伊,28
吉伊,image338.png,平行世界襟章-吉伊,30
吉伊,image339.png,韓國立牌-吉伊(章魚),28
吉伊,image340.png,韓國café掛飾-吉伊,85
吉伊,image341.png,韓國夾子-吉伊,25
吉伊,image342.png,函館掛飾-吉伊,65
吉伊,image343.png,密瓜娃-吉伊,158
吉伊,image344.png,刺繡襟章-吉伊(趴),30
吉伊,image345.png,刺繡襟章-吉伊(舉手),38
吉伊,image346.png,膠質掛飾-吉伊(合格),38
吉伊,image347.png,膠質掛飾-吉伊(復活節),38
吉伊,image348.png,2023兔年襟章-吉伊,60
吉伊,image349.png,山梨娃-吉伊,178
吉伊,image350.png,磁貼-吉伊,28
吉伊,image351.png,天使襟章-吉伊,78
吉伊,image352.png,天使金屬襟章-吉伊,85
吉伊,image353.png,天使貼紙-吉伊,50
吉伊,image354.png,天使金屬襟章-吉伊(射箭),85
吉伊,image355.png,全家貼紙-吉伊,30
吉伊,image356.png,全家襟章-吉伊,38
吉伊,image357.png,廣島限定徽章-吉伊,108
吉伊,image358.png,討伐木牌掛飾-吉伊,50
吉伊,image359.png,壽司娃-吉伊,148
吉伊,image360.png,毛絨枕頭-吉伊,138
吉伊,image361.png,冬季睡衣娃-吉伊,188
吉伊,image362.png,吉伊噘嘴娃,168
吉伊,image363.png,MLB娃usagi(普)(初販),168
吉伊,image364.png,MLB娃usagi(帽)(初販),168
吉伊,image365.png,魔法少女趴趴娃-吉伊,148
吉伊,image366.png,鯉魚娃-吉伊,138
吉伊,image367.png,奶油生日娃-吉伊,138
吉伊,image368.png,木質襟章-吉伊,60
吉伊,image369.png,魔法少女卡套20張-吉伊,68
吉伊,image370.png,熱狗娃-吉伊,158
吉伊,image371.png,流星娃-吉伊,158
吉伊 usagi,image372.png,亞克力掛飾-吉伊&usagi,18
吉伊 usagi,image373.png,平行世界襟章-吉伊&usagi,25
吉伊 小八,image374.png,罐頭襟章-吉伊&小八(曲奇),35
吉伊 小八,image375.png,罐頭襟章-吉伊&小八(炒菇),35
吉伊 小八,image376.png,亞克力掛飾-吉伊&小八,18
吉伊 小八 usagi,image377.png,飯店長貼紙-三小只功夫,38
吉伊 小八 usagi,image378.png,飯店長貼紙-小八外賣,38
吉伊 小八 usagi,image379.png,飯店貼紙-三小只,30
吉伊 小八 usagi,image380.png,貼紙-三小只(睡衣),25
吉伊 小八 usagi,image381.png,大臉娃襟章set,218
小八,image382.png,大臉娃襟章-小八,88
usagi,image383.png,大臉娃襟章-usagi,98
吉伊,image384.png,大臉娃襟章-吉伊,78
吉伊 小八 usagi,image385.png,冒險王襟章-三小只,28
吉伊 小八 usagi,image386.png,冒險王貼紙-三小只(桶),45
吉伊 小八 usagi,image387.png,冒險王貼紙-三小只(長方),35
吉伊 小八 usagi,image388.png,罐頭襟章-吉伊&小八(監獄),35
吉伊 小八 usagi,image389.png,韓國cafe襟章-三小只,50
吉伊 小八 usagi,image390.png,全家襟章-三小只,38
吉伊 小八 usagi 獅薩 鎧甲人,image391.png,拉面立牌,68
那孩子,image392.png,抽賞膠質掛飾-那孩子,28
那孩子,image393.png,小貼紙-那孩子,18
那孩子,image394.png,惡魔金屬襟章-那孩子,58
那孩子,image395.png,惡魔貼紙-那孩子,38
那孩子,image396.png,公仔掛飾-那孩子,168
吉伊 飛鼠,image397.png,討伐木牌掛飾-吉伊&飛鼠,45
古本 飛鼠,image398.png,亞克力小掛飾-飛鼠&古本,28
其他,image399.png,天使惡魔襟章-集合,50
其他,image400.png,飯店襟章-集合(花),25
其他,image401.png,飯店襟章-集合(霓紅燈),25
其他,image402.png,京都襟章-集合,18
奇美拉,image403.png,韓國24K貼紙-奇美拉,25
盲抽/盲盒,image404.png,日版麥當勞盲盒第1彈盲盒,45
盲抽/盲盒,image405.png,巨人襟章盲抽(1包2個),75
盲抽/盲盒,image406.png,魔法少女金屬掛飾盲抽,58
星星,image407.png,韓國24K貼紙-星星,28
飛鼠,image408.png,景品娃-吉伊(討厭),90
飛鼠,image409.png,景品手帶掛飾-飛鼠,58
飛鼠,image410.png,抽賞膠質掛飾-飛鼠,38
飛鼠,image411.png,AnymyD賞細娃-飛鼠,148
飛鼠,image412.png,京都襟章-飛鼠#2,38
飛鼠,image413.png,京都襟章-飛鼠#1,38
飛鼠,image414.png,魔法少女小立牌-usagi,38
飛鼠,image415.png,魔法少女小手辦-飛鼠,88
飛鼠,image416.png,魔法少女襟章-飛鼠(Q版),48
飛鼠,image417.png,貼紙-飛鼠(飯團),38
飛鼠,image418.png,藏壽司第1彈掛飾-飛鼠,68
飛鼠,image419.png,藏壽司第2彈掛飾-飛鼠,48
飛鼠,image420.png,Sanrio小手辦-飛鼠,68
飛鼠,image421.png,韓國夾子-飛鼠,30
飛鼠,image422.png,惡魔金屬襟章-飛鼠,78
飛鼠,image423.png,壽司娃-飛鼠,148
飛鼠,image424.png,餐廳亞克力小掛飾-飛鼠,58
飛鼠,image425.png,飛鼠尾巴公仔掛飾,178
飛鼠,image426.png,魔法少女趴趴娃-飛鼠,168
飛鼠,image427.png,筷枕(放筷子的)-飛鼠,65
飛鼠,image428.png,毛絨枕頭-吉伊,158
飛鼠,image429.png,魔法少女娃-飛鼠,168
飛鼠,image430.png,木質襟章-飛鼠,68
飛鼠,image431.png,魔法少女卡套20張(4款各5張)-真飛鼠,78
哥布林,image432.png,哥布林娃(雞脾),198
師父,image433.png,魔法少女襟章-師父(灰),38
師父,image434.png,魔法少女襟章-師父(紅),28
師父,image435.png,魔法少女小立牌-師父,20
師父,image436.png,小貼紙-師父,18
師父,image437.png,壽司娃-師父,168
栗子,image438.png,抽賞膠質掛飾-栗子,28
栗子,image439.png,AnymyD賞細娃-栗子,78
栗子,image440.png,魔法少女襟章-栗子,18
栗子,image441.png,魔法少女小手辦-栗子,58
栗子,image442.png,魔法少女襟章-栗子(Q版),38
